#Column 3CR	(A)		3CR source designation (1)	[meta.id;meta.main]
#Column RA1950	(A10)		Right ascension (1950.0)	[pos.eq.ra;meta.main]
#Column DE1950	(A8)		Declination (1950.0)	[pos.eq.dec;meta.main]
#Column S178MHz	(F7.1)		Flux density at 178MHz	[phot.flux.density;em.radio.100-200MHz]
3CR,RA1950,DE1950,S178MHz
,"h:m:s","d:m:s",Jy
424,20 45 44.4,+06 53.4,12.5
427.1,21 05 12.0,+76 36.0,23.0
428,21 06 45.2,+49 21.9,19.0
430,21 16 57.0,+60 35.0,29.0
431,21 17 12.5,+49 21.6,21.0
432,21 20 26.2,+16 52.4,11.5
433,21 21 32.1,+24 52.7,52.0
434,21 21 45.0,+15 49.0,10.5
434.1,21 23 06.0,+51 48.0,23.0
435,21 26 39.0,+07 27.0,9.5
435.1,21 35 12.0,+84 24.0,12.0
436,21 41 59.1,+27 55.7,15.0
437,21 45 00.0,+15 03.0,10.5
437.1,21 48 24.0,+13 42.0,5.0
438,21 53 45.5,+37 45.8,37.0
441,22 03 50.1,+29 16.7,13.0
442,22 12 56.0,+13 35.0,20.0
445,22 21 13.1,-02 24.6,23.0
449,22 29 09.0,+38 57.0,13.5
452,22 43 33.5,+39 24.7,49.0
454,22 49 09.6,+18 33.9,9.0
454.1,22 49 36.0,+71 36.0,9.5
454.2,22 50 24.0,+64 48.0,10.5
454.3,22 51 42.0,+15 00.0,15.0
455,22 52 42.0,+13 12.0,13.0
456,23 10 04.0,+09 06.0,13.0
458,23 10 20.3,+05 06.0,10.0
459,23 14 02.8,+03 55.0,22.0
460,23 19 00.3,+23 32.1,9.5
461,23 21 10.6,+58 33.1,11000.0
465,23 36 01.0,+26 40.2,35.0
468.1,23 48 36.0,+64 24.0,34.0
469.1,23 53 30.0,+79 48.0,11.5
470,23 56 04.1,+43 49.6,9.0
